   LOG10(FN)  FN  Calculated  |Hphase| H11, H12 ... H21, H22 ...
 -0.30103000         0.50000000         0.99498266         0.99517593    
 -0.29472897         0.50730721         0.99496063         0.99514900    
 -0.28842794         0.51472121         0.99493865         0.99512196    
 -0.28212691         0.52224356         0.99491671         0.99509480    
 -0.27582588         0.52987585         0.99489483         0.99506755    
 -0.26952485         0.53761968         0.99487299         0.99504022    
 -0.26322382         0.54547667         0.99485121         0.99501281    
 -0.25692279         0.55344850         0.99482948         0.99498533    
 -0.25062176         0.56153683         0.99480781         0.99495780    
 -0.24432073         0.56974336         0.99478620         0.99493022    
 -0.23801970         0.57806983         0.99476465         0.99490261    
 -0.23171867         0.58651799         0.99474316         0.99487498    
 -0.22541764         0.59508961         0.99472172         0.99484734    
 -0.21911661         0.60378649         0.99470036         0.99481970    
 -0.21281558         0.61261048         0.99467905         0.99479207    
 -0.20651455         0.62156343         0.99465782         0.99476446    
 -0.20021352         0.63064722         0.99463664         0.99473688    
 -0.19391249         0.63986376         0.99461554         0.99470934    
 -0.18761146         0.64921500         0.99459451         0.99468185    
 -0.18131043         0.65870290         0.99457354         0.99465443    
 -0.17500940         0.66832946         0.99455265         0.99462708    
 -0.16870837         0.67809671         0.99453182         0.99459981    
 -0.16240734         0.68800669         0.99451107         0.99457263    
 -0.15610631         0.69806151         0.99449040         0.99454555    
 -0.14980528         0.70826328         0.99446979         0.99451858    
 -0.14350425         0.71861413         0.99444926         0.99449174    
 -0.13720322         0.72911626         0.99442881         0.99446502    
 -0.13090219         0.73977187         0.99440842         0.99443843    
 -0.12460116         0.75058321         0.99438812         0.99441199    
 -0.11830013         0.76155255         0.99436789         0.99438570    
 -0.11199910         0.77268219         0.99434773         0.99435957    
 -0.10569807         0.78397450         0.99432766         0.99433361    
 -0.99397036E-01     0.79543183         0.99430765         0.99430782    
 -0.93096006E-01     0.80705660         0.99428773         0.99428222    
 -0.86794976E-01     0.81885126         0.99426788         0.99425680    
 -0.80493946E-01     0.83081830         0.99424810         0.99423157    
 -0.74192916E-01     0.84296023         0.99422840         0.99420653    
 -0.67891886E-01     0.85527960         0.99420878         0.99418171    
 -0.61590856E-01     0.86777902         0.99418923         0.99415709    
 -0.55289826E-01     0.88046110         0.99416975         0.99413268    
 -0.48988796E-01     0.89332853         0.99415035         0.99410848    
 -0.42687766E-01     0.90638401         0.99413102         0.99408451    
 -0.36386736E-01     0.91963028         0.99411176         0.99406076    
 -0.30085706E-01     0.93307015         0.99409257         0.99403724    
 -0.23784676E-01     0.94670642         0.99407345         0.99401394    
 -0.17483646E-01     0.96054199         0.99405441         0.99399088    
 -0.11182616E-01     0.97457975         0.99403542         0.99396804    
 -0.48815859E-02     0.98882267         0.99401651         0.99394545    
  0.14194441E-02      1.0032737         0.99399766         0.99392308    
  0.77204741E-02      1.0179360         0.99397888         0.99390095    
  0.14021504E-01      1.0328125         0.99396016         0.99387906    
  0.20322534E-01      1.0479065         0.99394150         0.99385741    
  0.26623564E-01      1.0632210         0.99392289         0.99383599    
  0.32924594E-01      1.0787594         0.99390435         0.99381480    
  0.39225624E-01      1.0945248         0.99388586         0.99379385    
  0.45526654E-01      1.1105207         0.99386743         0.99377314    
  0.51827684E-01      1.1267503         0.99384905         0.99375265    
  0.58128714E-01      1.1432171         0.99383072         0.99373240    
  0.64429744E-01      1.1599246         0.99381244         0.99371237    
  0.70730774E-01      1.1768762         0.99379420         0.99369256    
  0.77031804E-01      1.1940755         0.99377601         0.99367298    
  0.83332834E-01      1.2115263         0.99375786         0.99365362    
  0.89633864E-01      1.2292320         0.99373975         0.99363447    
  0.95934894E-01      1.2471965         0.99372167         0.99361554    
  0.10223592          1.2654236         0.99370363         0.99359681    
  0.10853695          1.2839170         0.99368562         0.99357829    
  0.11483798          1.3026807         0.99366764         0.99355996    
  0.12113901          1.3217186         0.99364969         0.99354183    
