  LOG10(FN)  FN  Calc./Fitted arg(Hmode) H1c, H1f, H2c, H2f ... [deg]
 -0.30103000         0.50000000        -0.19728832        -0.19237725    
 -0.29472897         0.50730721        -0.19829182        -0.19385852    
 -0.28842794         0.51472121        -0.19930669        -0.19533669    
 -0.28212691         0.52224356        -0.20033325        -0.19681185    
 -0.27582588         0.52987585        -0.20137182        -0.19828407    
 -0.26952485         0.53761968        -0.20242270        -0.19975347    
 -0.26322382         0.54547667        -0.20348624        -0.20122020    
 -0.25692279         0.55344850        -0.20456276        -0.20268442    
 -0.25062176         0.56153683        -0.20565260        -0.20414634    
 -0.24432073         0.56974336        -0.20675613        -0.20560616    
 -0.23801970         0.57806983        -0.20787368        -0.20706416    
 -0.23171867         0.58651799        -0.20900562        -0.20852060    
 -0.22541764         0.59508961        -0.21015231        -0.20997579    
 -0.21911661         0.60378649        -0.21131413        -0.21143006    
 -0.21281558         0.61261048        -0.21249147        -0.21288379    
 -0.20651455         0.62156343        -0.21368469        -0.21433736    
 -0.20021352         0.63064722        -0.21489420        -0.21579119    
 -0.19391249         0.63986376        -0.21612040        -0.21724572    
 -0.18761146         0.64921500        -0.21736369        -0.21870143    
 -0.18131043         0.65870290        -0.21862448        -0.22015882    
 -0.17500940         0.66832946        -0.21990318        -0.22161841    
 -0.16870837         0.67809671        -0.22120023        -0.22308076    
 -0.16240734         0.68800669        -0.22251606        -0.22454645    
 -0.15610631         0.69806151        -0.22385109        -0.22601608    
 -0.14980528         0.70826328        -0.22520578        -0.22749027    
 -0.14350425         0.71861413        -0.22658057        -0.22896968    
 -0.13720322         0.72911626        -0.22797592        -0.23045499    
 -0.13090219         0.73977187        -0.22939228        -0.23194690    
 -0.12460116         0.75058321        -0.23083012        -0.23344611    
 -0.11830013         0.76155255        -0.23228993        -0.23495338    
 -0.11199910         0.77268219        -0.23377216        -0.23646947    
 -0.10569807         0.78397450        -0.23527732        -0.23799516    
 -0.99397036E-01     0.79543183        -0.23680589        -0.23953125    
 -0.93096006E-01     0.80705660        -0.23835836        -0.24107855    
 -0.86794976E-01     0.81885126        -0.23993524        -0.24263792    
 -0.80493946E-01     0.83081830        -0.24153704        -0.24421018    
 -0.74192916E-01     0.84296023        -0.24316426        -0.24579622    
 -0.67891886E-01     0.85527960        -0.24481743        -0.24739692    
 -0.61590856E-01     0.86777902        -0.24649707        -0.24901317    
 -0.55289826E-01     0.88046110        -0.24820370        -0.25064589    
 -0.48988796E-01     0.89332853        -0.24993787        -0.25229598    
 -0.42687766E-01     0.90638401        -0.25170012        -0.25396440    
 -0.36386736E-01     0.91963028        -0.25349098        -0.25565207    
 -0.30085706E-01     0.93307015        -0.25531101        -0.25735995    
 -0.23784676E-01     0.94670642        -0.25716076        -0.25908901    
 -0.17483646E-01     0.96054199        -0.25904079        -0.26084022    
 -0.11182616E-01     0.97457975        -0.26095168        -0.26261454    
 -0.48815859E-02     0.98882267        -0.26289398        -0.26441297    
  0.14194441E-02      1.0032737        -0.26486828        -0.26623649    
  0.77204741E-02      1.0179360        -0.26687515        -0.26808610    
  0.14021504E-01      1.0328125        -0.26891517        -0.26996280    
  0.20322534E-01      1.0479065        -0.27098895        -0.27186759    
  0.26623564E-01      1.0632210        -0.27309707        -0.27380148    
  0.32924594E-01      1.0787594        -0.27524013        -0.27576548    
  0.39225624E-01      1.0945248        -0.27741874        -0.27776059    
  0.45526654E-01      1.1105207        -0.27963350        -0.27978783    
  0.51827684E-01      1.1267503        -0.28188503        -0.28184822    
  0.58128714E-01      1.1432171        -0.28417395        -0.28394277    
  0.64429744E-01      1.1599246        -0.28650087        -0.28607250    
  0.70730774E-01      1.1768762        -0.28886643        -0.28823842    
  0.77031804E-01      1.1940755        -0.29127125        -0.29044154    
  0.83332834E-01      1.2115263        -0.29371598        -0.29268289    
  0.89633864E-01      1.2292320        -0.29620126        -0.29496347    
  0.95934894E-01      1.2471965        -0.29872772        -0.29728430    
  0.10223592          1.2654236        -0.30129603        -0.29964638    
  0.10853695          1.2839170        -0.30390683        -0.30205073    
  0.11483798          1.3026807        -0.30656078        -0.30449836    
