  LOG10(FN)  FN  Calculated  arg(Hphase) H11, H12 ... H21, H22 ... [deg]
 -0.30103000         0.50000000        -0.47054361        -0.46563254    
 -0.29472897         0.50730721        -0.47554058        -0.47110728    
 -0.28842794         0.51472121        -0.48060728        -0.47663728    
 -0.28212691         0.52224356        -0.48574489        -0.48222348    
 -0.27582588         0.52987585        -0.49095458        -0.48786683    
 -0.26952485         0.53761968        -0.49623754        -0.49356832    
 -0.26322382         0.54547667        -0.50159501        -0.49932898    
 -0.25692279         0.55344850        -0.50702822        -0.50514989    
 -0.25062176         0.56153683        -0.51253843        -0.51103216    
 -0.24432073         0.56974336        -0.51812691        -0.51697694    
 -0.23801970         0.57806983        -0.52379496        -0.52298544    
 -0.23171867         0.58651799        -0.52954390        -0.52905888    
 -0.22541764         0.59508961        -0.53537508        -0.53519856    
 -0.21911661         0.60378649        -0.54128985        -0.54140577    
 -0.21281558         0.61261048        -0.54728958        -0.54768191    
 -0.20651455         0.62156343        -0.55337568        -0.55402835    
 -0.20021352         0.63064722        -0.55954958        -0.56044657    
 -0.19391249         0.63986376        -0.56581272        -0.56693804    
 -0.18761146         0.64921500        -0.57216656        -0.57350430    
 -0.18131043         0.65870290        -0.57861258        -0.58014693    
 -0.17500940         0.66832946        -0.58515231        -0.58686754    
 -0.16870837         0.67809671        -0.59178726        -0.59366779    
 -0.16240734         0.68800669        -0.59851900        -0.60054939    
 -0.15610631         0.69806151        -0.60534910        -0.60751408    
 -0.14980528         0.70826328        -0.61227916        -0.61456365    
 -0.14350425         0.71861413        -0.61931080        -0.62169991    
 -0.13720322         0.72911626        -0.62644567        -0.62892475    
 -0.13090219         0.73977187        -0.63368544        -0.63624005    
 -0.12460116         0.75058321        -0.64103179        -0.64364778    
 -0.11830013         0.76155255        -0.64848645        -0.65114991    
 -0.11199910         0.77268219        -0.65605116        -0.65874847    
 -0.10569807         0.78397450        -0.66372768        -0.66644552    
 -0.99397036E-01     0.79543183        -0.67151780        -0.67424316    
 -0.93096006E-01     0.80705660        -0.67942334        -0.68214353    
 -0.86794976E-01     0.81885126        -0.68744613        -0.69014880    
 -0.80493946E-01     0.83081830        -0.69558803        -0.69826118    
 -0.74192916E-01     0.84296023        -0.70385095        -0.70648291    
 -0.67891886E-01     0.85527960        -0.71223679        -0.71481628    
 -0.61590856E-01     0.86777902        -0.72074749        -0.72326359    
 -0.55289826E-01     0.88046110        -0.72938502        -0.73182720    
 -0.48988796E-01     0.89332853        -0.73815137        -0.74050948    
 -0.42687766E-01     0.90638401        -0.74704857        -0.74931285    
 -0.36386736E-01     0.91963028        -0.75607866        -0.75823975    
 -0.30085706E-01     0.93307015        -0.76524372        -0.76729267    
 -0.23784676E-01     0.94670642        -0.77454584        -0.77647410    
 -0.17483646E-01     0.96054199        -0.78398716        -0.78578658    
 -0.11182616E-01     0.97457975        -0.79356983        -0.79523269    
