   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
 -0.30103000         0.50000000         0.11450161E-13
 -0.29472897         0.50730721         0.11655510E-13
 -0.28842794         0.51472121         0.11865322E-13
 -0.28212691         0.52224356         0.12079714E-13
 -0.27582588         0.52987585         0.12298811E-13
 -0.26952485         0.53761968         0.12522738E-13
 -0.26322382         0.54547667         0.12751627E-13
 -0.25692279         0.55344850         0.12985610E-13
 -0.25062176         0.56153683         0.13224828E-13
 -0.24432073         0.56974336         0.13469423E-13
 -0.23801970         0.57806983         0.13719541E-13
 -0.23171867         0.58651799         0.13975335E-13
 -0.22541764         0.59508961         0.14236961E-13
 -0.21911661         0.60378649         0.14504578E-13
 -0.21281558         0.61261048         0.14778354E-13
 -0.20651455         0.62156343         0.15058458E-13
 -0.20021352         0.63064722         0.15345067E-13
 -0.19391249         0.63986376         0.15638362E-13
 -0.18761146         0.64921500         0.15938530E-13
 -0.18131043         0.65870290         0.16245763E-13
 -0.17500940         0.66832946         0.16560259E-13
 -0.16870837         0.67809671         0.16882223E-13
 -0.16240734         0.68800669         0.17211864E-13
 -0.15610631         0.69806151         0.17549400E-13
 -0.14980528         0.70826328         0.17895054E-13
 -0.14350425         0.71861413         0.18249056E-13
 -0.13720322         0.72911626         0.18611643E-13
 -0.13090219         0.73977187         0.18983058E-13
 -0.12460116         0.75058321         0.19363554E-13
 -0.11830013         0.76155255         0.19753388E-13
 -0.11199910         0.77268219         0.20152828E-13
 -0.10569807         0.78397450         0.20562149E-13
 -0.99397036E-01     0.79543183         0.20981632E-13
 -0.93096006E-01     0.80705660         0.21411570E-13
 -0.86794976E-01     0.81885126         0.21852263E-13
 -0.80493946E-01     0.83081830         0.22304018E-13
 -0.74192916E-01     0.84296023         0.22767156E-13
 -0.67891886E-01     0.85527960         0.23242002E-13
 -0.61590856E-01     0.86777902         0.23728895E-13
 -0.55289826E-01     0.88046110         0.24228182E-13
 -0.48988796E-01     0.89332853         0.24740221E-13
 -0.42687766E-01     0.90638401         0.25265380E-13
 -0.36386736E-01     0.91963028         0.25804037E-13
 -0.30085706E-01     0.93307015         0.26356584E-13
 -0.23784676E-01     0.94670642         0.26923422E-13
 -0.17483646E-01     0.96054199         0.27504965E-13
 -0.11182616E-01     0.97457975         0.28101640E-13
 -0.48815859E-02     0.98882267         0.28713883E-13
  0.14194441E-02      1.0032737         0.29342148E-13
  0.77204741E-02      1.0179360         0.29986898E-13
  0.14021504E-01      1.0328125         0.30648612E-13
  0.20322534E-01      1.0479065         0.31327781E-13
  0.26623564E-01      1.0632210         0.32024914E-13
  0.32924594E-01      1.0787594         0.32740531E-13
  0.39225624E-01      1.0945248         0.33475168E-13
  0.45526654E-01      1.1105207         0.34229379E-13
  0.51827684E-01      1.1267503         0.35003732E-13
  0.58128714E-01      1.1432171         0.35798812E-13
  0.64429744E-01      1.1599246         0.36615221E-13
  0.70730774E-01      1.1768762         0.37453578E-13
  0.77031804E-01      1.1940755         0.38314523E-13
  0.83332834E-01      1.2115263         0.39198709E-13
  0.89633864E-01      1.2292320         0.40106814E-13
  0.95934894E-01      1.2471965         0.41039532E-13
  0.10223592          1.2654236         0.41997577E-13
  0.10853695          1.2839170         0.42981686E-13
  0.11483798          1.3026807         0.43992615E-13
  0.12113901          1.3217186         0.45031144E-13
  0.12744004          1.3410348         0.46098073E-13
  0.13374107          1.3606332         0.47194228E-13
  0.14004210          1.3805181         0.48320457E-13
  0.14634313          1.4006936         0.49477632E-13
  0.15264416          1.4211639         0.50666653E-13
  0.15894519          1.4419334         0.51888442E-13
  0.16524622          1.4630064         0.53143950E-13
  0.17154725          1.4843874         0.54434157E-13
  0.17784828          1.5060808         0.55760066E-13
  0.18414931          1.5280913         0.57122715E-13
  0.19045034          1.5504235         0.58523168E-13
  0.19675137          1.5730820         0.59962521E-13
  0.20305240          1.5960717         0.61441900E-13
  0.20935343          1.6193974         0.62962467E-13
  0.21565446          1.6430639         0.64525412E-13
  0.22195549          1.6670764         0.66131964E-13
  0.22825652          1.6914397         0.67783386E-13
  0.23455755          1.7161591         0.69480975E-13
  0.24085858          1.7412398         0.71226069E-13
  0.24715961          1.7666870         0.73020042E-13
  0.25346064          1.7925061         0.74864308E-13
  0.25976167          1.8187025         0.76760321E-13
  0.26606270          1.8452818         0.78709578E-13
  0.27236373          1.8722495         0.80713619E-13
  0.27866476          1.8996114         0.82774026E-13
  0.28496579          1.9273731         0.84892430E-13
  0.29126682          1.9555405         0.87070505E-13
  0.29756785          1.9841196         0.89309976E-13
  0.30386888          2.0131164         0.91612616E-13
  0.31016991          2.0425369         0.93980250E-13
  0.31647094          2.0723874         0.96414753E-13
  0.32277197          2.1026741         0.98918057E-13
  0.32907300          2.1334035         0.10149215E-12
  0.33537403          2.1645820         0.10413907E-12
  0.34167506          2.1962161         0.10686092E-12
  0.34797609          2.2283125         0.10965986E-12
  0.35427712          2.2608780         0.11253813E-12
  0.36057815          2.2939194         0.11549799E-12
  0.36687918          2.3274437         0.11854181E-12
  0.37318021          2.3614579         0.12167202E-12
  0.37948124          2.3959693         0.12489109E-12
  0.38578227          2.4309850         0.12820159E-12
  0.39208330          2.4665124         0.13160616E-12
  0.39838433          2.5025591         0.13510751E-12
  0.40468536          2.5391325         0.13870842E-12
  0.41098639          2.5762404         0.14241177E-12
  0.41728742          2.6138907         0.14622050E-12
  0.42358845          2.6520912         0.15013766E-12
  0.42988948          2.6908500         0.15416636E-12
  0.43619051          2.7301752         0.15830983E-12
  0.44249154          2.7700751         0.16257135E-12
  0.44879257          2.8105581         0.16695434E-12
  0.45509360          2.8516328         0.17146229E-12
  0.46139463          2.8933078         0.17609880E-12
  0.46769566          2.9355918         0.18086757E-12
  0.47399669          2.9784938         0.18577240E-12
  0.48029772          3.0220227         0.19081722E-12
  0.48659875          3.0661878         0.19600605E-12
  0.49289978          3.1109984         0.20134305E-12
  0.49920081          3.1564638         0.20683246E-12
  0.50550184          3.2025937         0.21247868E-12
  0.51180287          3.2493977         0.21828623E-12
  0.51810390          3.2968858         0.22425974E-12
  0.52440493          3.3450679         0.23040399E-12
  0.53070596          3.3939541         0.23672389E-12
  0.53700699          3.4435548         0.24322449E-12
  0.54330802          3.4938803         0.24991100E-12
  0.54960905          3.5449413         0.25678876E-12
  0.55591008          3.5967486         0.26386328E-12
  0.56221111          3.6493130         0.27114021E-12
  0.56851214          3.7026456         0.27862537E-12
  0.57481317          3.7567576         0.28632476E-12
  0.58111420          3.8116604         0.29424454E-12
  0.58741523          3.8673656         0.30239105E-12
  0.59371626          3.9238849         0.31077080E-12
  0.60001729          3.9812302         0.31939051E-12
  0.60631832          4.0394136         0.32825708E-12
  0.61261935          4.0984473         0.33737760E-12
  0.61892038          4.1583437         0.34675939E-12
  0.62522141          4.2191155         0.35640994E-12
  0.63152244          4.2807754         0.36633700E-12
  0.63782347          4.3433365         0.37654851E-12
  0.64412450          4.4068118         0.38705265E-12
  0.65042553          4.4712148         0.39785785E-12
  0.65672656          4.5365590         0.40897274E-12
  0.66302759          4.6028582         0.42040624E-12
  0.66932862          4.6701263         0.43216752E-12
  0.67562965          4.7383775         0.44426599E-12
  0.68193068          4.8076261         0.45671135E-12
  0.68823171          4.8778868         0.46951357E-12
  0.69453274          4.9491742         0.48268292E-12
  0.70083377          5.0215035         0.49622995E-12
  0.70713480          5.0948899         0.51016552E-12
  0.71343583          5.1693488         0.52450080E-12
  0.71973686          5.2448958         0.53924727E-12
  0.72603789          5.3215469         0.55441678E-12
  0.73233892          5.3993182         0.57002146E-12
  0.73863995          5.4782261         0.58607385E-12
  0.74494098          5.5582872         0.60258680E-12
  0.75124201          5.6395183         0.61957356E-12
  0.75754304          5.7219366         0.63704776E-12
  0.76384407          5.8055594         0.65502339E-12
  0.77014510          5.8904043         0.67351489E-12
  0.77644613          5.9764891         0.69253707E-12
  0.78274716          6.0638320         0.71210520E-12
  0.78904819          6.1524514         0.73223497E-12
  0.79534922          6.2423659         0.75294252E-12
  0.80165025          6.3335945         0.77424447E-12
  0.80795128          6.4261563         0.79615790E-12
  0.81425231          6.5200708         0.81870039E-12
  0.82055334          6.6153579         0.84189002E-12
  0.82685437          6.7120375         0.86574540E-12
  0.83315540          6.8101300         0.89028566E-12
  0.83945643          6.9096561         0.91553049E-12
  0.84575746          7.0106367         0.94150015E-12
  0.85205849          7.1130931         0.96821547E-12
  0.85835952          7.2170468         0.99569788E-12
  0.86466055          7.3225198         0.10239694E-11
  0.87096158          7.4295342         0.10530528E-11
  0.87726261          7.5381125         0.10829714E-11
  0.88356364          7.6482776         0.11137491E-11
  0.88986467          7.7600528         0.11454106E-11
  0.89616570          7.8734614         0.11779815E-11
  0.90246673          7.9885275         0.12114877E-11
  0.90876776          8.1052752         0.12459563E-11
  0.91506879          8.2237291         0.12814148E-11
  0.92136982          8.3439141         0.13178917E-11
  0.92767085          8.4658555         0.13554162E-11
  0.93397188          8.5895791         0.13940186E-11
  0.94027291          8.7151108         0.14337297E-11
  0.94657394          8.8424771         0.14745814E-11
  0.95287497          8.9717048         0.15166066E-11
  0.95917600          9.1028210         0.15598389E-11
  0.96547703          9.2358535         0.16043130E-11
  0.97177806          9.3708301         0.16500647E-11
  0.97807909          9.5077793         0.16971305E-11
  0.98438012          9.6467300         0.17455484E-11
  0.99068115          9.7877114         0.17953572E-11
  0.99698218          9.9307531         0.18465967E-11
   1.0032832          10.075885         0.18993083E-11
   1.0095842          10.223138         0.19535340E-11
   1.0158853          10.372544         0.20093176E-11
