   LOG10(FN) FN  Arguments: Lamda11, Lamda22 ... [deg]
 -0.30103000         0.50000000          117.02721    
 -0.29472897         0.50730721          117.34173    
 -0.28842794         0.51472121          117.65857    
 -0.28212691         0.52224356          117.97768    
 -0.27582588         0.52987585          118.29906    
 -0.26952485         0.53761968          118.62266    
 -0.26322382         0.54547667          118.94846    
 -0.25692279         0.55344850          119.27643    
 -0.25062176         0.56153683          119.60654    
 -0.24432073         0.56974336          119.93874    
 -0.23801970         0.57806983          120.27301    
 -0.23171867         0.58651799          120.60931    
 -0.22541764         0.59508961          120.94761    
 -0.21911661         0.60378649          121.28785    
 -0.21281558         0.61261048          121.63000    
 -0.20651455         0.62156343          121.97403    
 -0.20021352         0.63064722          122.31987    
 -0.19391249         0.63986376          122.66750    
 -0.18761146         0.64921500          123.01686    
 -0.18131043         0.65870290          123.36791    
 -0.17500940         0.66832946          123.72059    
 -0.16870837         0.67809671          124.07486    
 -0.16240734         0.68800669          124.43066    
 -0.15610631         0.69806151          124.78795    
 -0.14980528         0.70826328          125.14666    
 -0.14350425         0.71861413          125.50675    
 -0.13720322         0.72911626          125.86815    
 -0.13090219         0.73977187          126.23081    
 -0.12460116         0.75058321          126.59468    
 -0.11830013         0.76155255          126.95968    
 -0.11199910         0.77268219          127.32577    
 -0.10569807         0.78397450          127.69287    
 -0.99397036E-01     0.79543183          128.06094    
 -0.93096006E-01     0.80705660          128.42990    
 -0.86794976E-01     0.81885126          128.79968    
 -0.80493946E-01     0.83081830          129.17024    
 -0.74192916E-01     0.84296023          129.54149    
 -0.67891886E-01     0.85527960          129.91338    
 -0.61590856E-01     0.86777902          130.28584    
 -0.55289826E-01     0.88046110          130.65880    
 -0.48988796E-01     0.89332853          131.03220    
 -0.42687766E-01     0.90638401          131.40596    
 -0.36386736E-01     0.91963028          131.78002    
 -0.30085706E-01     0.93307015          132.15431    
 -0.23784676E-01     0.94670642          132.52876    
 -0.17483646E-01     0.96054199          132.90330    
 -0.11182616E-01     0.97457975          133.27787    
 -0.48815859E-02     0.98882267          133.65239    
  0.14194441E-02      1.0032737          134.02680    
  0.77204741E-02      1.0179360          134.40103    
  0.14021504E-01      1.0328125          134.77500    
  0.20322534E-01      1.0479065          135.14865    
  0.26623564E-01      1.0632210          135.52192    
  0.32924594E-01      1.0787594          135.89473    
  0.39225624E-01      1.0945248          136.26702    
  0.45526654E-01      1.1105207          136.63871    
  0.51827684E-01      1.1267503          137.00975    
  0.58128714E-01      1.1432171          137.38007    
  0.64429744E-01      1.1599246          137.74960    
  0.70730774E-01      1.1768762          138.11828    
  0.77031804E-01      1.1940755          138.48605    
  0.83332834E-01      1.2115263          138.85283    
  0.89633864E-01      1.2292320          139.21858    
  0.95934894E-01      1.2471965          139.58322    
  0.10223592          1.2654236          139.94670    
  0.10853695          1.2839170          140.30896    
  0.11483798          1.3026807          140.66994    
  0.12113901          1.3217186          141.02959    
  0.12744004          1.3410348          141.38784    
  0.13374107          1.3606332          141.74464    
  0.14004210          1.3805181          142.09994    
  0.14634313          1.4006936          142.45369    
  0.15264416          1.4211639          142.80583    
  0.15894519          1.4419334          143.15631    
  0.16524622          1.4630064          143.50509    
  0.17154725          1.4843874          143.85212    
  0.17784828          1.5060808          144.19735    
  0.18414931          1.5280913          144.54074    
  0.19045034          1.5504235          144.88223    
  0.19675137          1.5730820          145.22180    
  0.20305240          1.5960717          145.55940    
  0.20935343          1.6193974          145.89499    
  0.21565446          1.6430639          146.22853    
  0.22195549          1.6670764          146.55999    
