   LOG10(FN) FN  Magnitudes: TI11, TI12 ... TI21, TI22 ...
 -0.30103000         0.50000000          1.0000000    
 -0.29472897         0.50730721          1.0000000    
 -0.28842794         0.51472121          1.0000000    
 -0.28212691         0.52224356          1.0000000    
 -0.27582588         0.52987585          1.0000000    
 -0.26952485         0.53761968          1.0000000    
 -0.26322382         0.54547667          1.0000000    
 -0.25692279         0.55344850          1.0000000    
 -0.25062176         0.56153683          1.0000000    
 -0.24432073         0.56974336          1.0000000    
 -0.23801970         0.57806983          1.0000000    
 -0.23171867         0.58651799          1.0000000    
 -0.22541764         0.59508961          1.0000000    
 -0.21911661         0.60378649          1.0000000    
 -0.21281558         0.61261048          1.0000000    
 -0.20651455         0.62156343          1.0000000    
 -0.20021352         0.63064722          1.0000000    
 -0.19391249         0.63986376          1.0000000    
 -0.18761146         0.64921500          1.0000000    
 -0.18131043         0.65870290          1.0000000    
 -0.17500940         0.66832946          1.0000000    
 -0.16870837         0.67809671          1.0000000    
 -0.16240734         0.68800669          1.0000000    
 -0.15610631         0.69806151          1.0000000    
 -0.14980528         0.70826328          1.0000000    
 -0.14350425         0.71861413          1.0000000    
 -0.13720322         0.72911626          1.0000000    
 -0.13090219         0.73977187          1.0000000    
 -0.12460116         0.75058321          1.0000000    
 -0.11830013         0.76155255          1.0000000    
 -0.11199910         0.77268219          1.0000000    
 -0.10569807         0.78397450          1.0000000    
 -0.99397036E-01     0.79543183          1.0000000    
 -0.93096006E-01     0.80705660          1.0000000    
 -0.86794976E-01     0.81885126          1.0000000    
 -0.80493946E-01     0.83081830          1.0000000    
 -0.74192916E-01     0.84296023          1.0000000    
 -0.67891886E-01     0.85527960          1.0000000    
 -0.61590856E-01     0.86777902          1.0000000    
 -0.55289826E-01     0.88046110          1.0000000    
 -0.48988796E-01     0.89332853          1.0000000    
 -0.42687766E-01     0.90638401          1.0000000    
 -0.36386736E-01     0.91963028          1.0000000    
 -0.30085706E-01     0.93307015          1.0000000    
 -0.23784676E-01     0.94670642          1.0000000    
 -0.17483646E-01     0.96054199          1.0000000    
 -0.11182616E-01     0.97457975          1.0000000    
 -0.48815859E-02     0.98882267          1.0000000    
  0.14194441E-02      1.0032737          1.0000000    
  0.77204741E-02      1.0179360          1.0000000    
  0.14021504E-01      1.0328125          1.0000000    
  0.20322534E-01      1.0479065          1.0000000    
  0.26623564E-01      1.0632210          1.0000000    
  0.32924594E-01      1.0787594          1.0000000    
  0.39225624E-01      1.0945248          1.0000000    
  0.45526654E-01      1.1105207          1.0000000    
  0.51827684E-01      1.1267503          1.0000000    
  0.58128714E-01      1.1432171          1.0000000    
  0.64429744E-01      1.1599246          1.0000000    
  0.70730774E-01      1.1768762          1.0000000    
  0.77031804E-01      1.1940755          1.0000000    
  0.83332834E-01      1.2115263          1.0000000    
  0.89633864E-01      1.2292320          1.0000000    
  0.95934894E-01      1.2471965          1.0000000    
  0.10223592          1.2654236          1.0000000    
  0.10853695          1.2839170          1.0000000    
  0.11483798          1.3026807          1.0000000    
  0.12113901          1.3217186          1.0000000    
  0.12744004          1.3410348          1.0000000    
  0.13374107          1.3606332          1.0000000    
  0.14004210          1.3805181          1.0000000    
  0.14634313          1.4006936          1.0000000    
  0.15264416          1.4211639          1.0000000    
  0.15894519          1.4419334          1.0000000    
  0.16524622          1.4630064          1.0000000    
  0.17154725          1.4843874          1.0000000    
  0.17784828          1.5060808          1.0000000    
  0.18414931          1.5280913          1.0000000    
  0.19045034          1.5504235          1.0000000    
  0.19675137          1.5730820          1.0000000    
  0.20305240          1.5960717          1.0000000    
  0.20935343          1.6193974          1.0000000    
  0.21565446          1.6430639          1.0000000    
  0.22195549          1.6670764          1.0000000    
  0.22825652          1.6914397          1.0000000    
  0.23455755          1.7161591          1.0000000    
  0.24085858          1.7412398          1.0000000    
  0.24715961          1.7666870          1.0000000    
  0.25346064          1.7925061          1.0000000    
  0.25976167          1.8187025          1.0000000    
  0.26606270          1.8452818          1.0000000    
  0.27236373          1.8722495          1.0000000    
  0.27866476          1.8996114          1.0000000    
  0.28496579          1.9273731          1.0000000    
  0.29126682          1.9555405          1.0000000    
  0.29756785          1.9841196          1.0000000    
  0.30386888          2.0131164          1.0000000    
  0.31016991          2.0425369          1.0000000    
  0.31647094          2.0723874          1.0000000    
  0.32277197          2.1026741          1.0000000    
  0.32907300          2.1334035          1.0000000    
  0.33537403          2.1645820          1.0000000    
  0.34167506          2.1962161          1.0000000    
  0.34797609          2.2283125          1.0000000    
  0.35427712          2.2608780          1.0000000    
  0.36057815          2.2939194          1.0000000    
  0.36687918          2.3274437          1.0000000    
  0.37318021          2.3614579          1.0000000    
  0.37948124          2.3959693          1.0000000    
  0.38578227          2.4309850          1.0000000    
  0.39208330          2.4665124          1.0000000    
  0.39838433          2.5025591          1.0000000    
  0.40468536          2.5391325          1.0000000    
  0.41098639          2.5762404          1.0000000    
  0.41728742          2.6138907          1.0000000    
  0.42358845          2.6520912          1.0000000    
  0.42988948          2.6908500          1.0000000    
  0.43619051          2.7301752          1.0000000    
  0.44249154          2.7700751          1.0000000    
  0.44879257          2.8105581          1.0000000    
  0.45509360          2.8516328          1.0000000    
  0.46139463          2.8933078          1.0000000    
  0.46769566          2.9355918          1.0000000    
  0.47399669          2.9784938          1.0000000    
  0.48029772          3.0220227          1.0000000    
  0.48659875          3.0661878          1.0000000    
  0.49289978          3.1109984          1.0000000    
  0.49920081          3.1564638          1.0000000    
  0.50550184          3.2025937          1.0000000    
  0.51180287          3.2493977          1.0000000    
  0.51810390          3.2968858          1.0000000    
  0.52440493          3.3450679          1.0000000    
  0.53070596          3.3939541          1.0000000    
  0.53700699          3.4435548          1.0000000    
  0.54330802          3.4938803          1.0000000    
  0.54960905          3.5449413          1.0000000    
  0.55591008          3.5967486          1.0000000    
  0.56221111          3.6493130          1.0000000    
  0.56851214          3.7026456          1.0000000    
  0.57481317          3.7567576          1.0000000    
  0.58111420          3.8116604          1.0000000    
  0.58741523          3.8673656          1.0000000    
  0.59371626          3.9238849          1.0000000    
  0.60001729          3.9812302          1.0000000    
  0.60631832          4.0394136          1.0000000    
  0.61261935          4.0984473          1.0000000    
  0.61892038          4.1583437          1.0000000    
  0.62522141          4.2191155          1.0000000    
  0.63152244          4.2807754          1.0000000    
  0.63782347          4.3433365          1.0000000    
  0.64412450          4.4068118          1.0000000    
  0.65042553          4.4712148          1.0000000    
  0.65672656          4.5365590          1.0000000    
  0.66302759          4.6028582          1.0000000    
  0.66932862          4.6701263          1.0000000    
  0.67562965          4.7383775          1.0000000    
  0.68193068          4.8076261          1.0000000    
  0.68823171          4.8778868          1.0000000    
  0.69453274          4.9491742          1.0000000    
  0.70083377          5.0215035          1.0000000    
  0.70713480          5.0948899          1.0000000    
  0.71343583          5.1693488          1.0000000    
  0.71973686          5.2448958          1.0000000    
  0.72603789          5.3215469          1.0000000    
  0.73233892          5.3993182          1.0000000    
  0.73863995          5.4782261          1.0000000    
  0.74494098          5.5582872          1.0000000    
  0.75124201          5.6395183          1.0000000    
  0.75754304          5.7219366          1.0000000    
  0.76384407          5.8055594          1.0000000    
  0.77014510          5.8904043          1.0000000    
  0.77644613          5.9764891          1.0000000    
  0.78274716          6.0638320          1.0000000    
  0.78904819          6.1524514          1.0000000    
  0.79534922          6.2423659          1.0000000    
  0.80165025          6.3335945          1.0000000    
  0.80795128          6.4261563          1.0000000    
  0.81425231          6.5200708          1.0000000    
  0.82055334          6.6153579          1.0000000    
  0.82685437          6.7120375          1.0000000    
  0.83315540          6.8101300          1.0000000    
  0.83945643          6.9096561          1.0000000    
  0.84575746          7.0106367          1.0000000    
  0.85205849          7.1130931          1.0000000    
  0.85835952          7.2170468          1.0000000    
  0.86466055          7.3225198          1.0000000    
  0.87096158          7.4295342          1.0000000    
  0.87726261          7.5381125          1.0000000    
  0.88356364          7.6482776          1.0000000    
  0.88986467          7.7600528          1.0000000    
  0.89616570          7.8734614          1.0000000    
  0.90246673          7.9885275          1.0000000    
  0.90876776          8.1052752          1.0000000    
  0.91506879          8.2237291          1.0000000    
  0.92136982          8.3439141          1.0000000    
  0.92767085          8.4658555          1.0000000    
  0.93397188          8.5895791          1.0000000    
  0.94027291          8.7151108          1.0000000    
  0.94657394          8.8424771          1.0000000    
  0.95287497          8.9717048          1.0000000    
  0.95917600          9.1028210          1.0000000    
  0.96547703          9.2358535          1.0000000    
  0.97177806          9.3708301          1.0000000    
  0.97807909          9.5077793          1.0000000    
  0.98438012          9.6467300          1.0000000    
  0.99068115          9.7877114          1.0000000    
  0.99698218          9.9307531          1.0000000    
   1.0032832          10.075885          1.0000000    
   1.0095842          10.223138          1.0000000    
   1.0158853          10.372544          1.0000000    
   1.0221863          10.524132          1.0000000    
   1.0284873          10.677936          1.0000000    
   1.0347884          10.833988          1.0000000    
   1.0410894          10.992321          1.0000000    
   1.0473904          11.152967          1.0000000    
   1.0536915          11.315961          1.0000000    
   1.0599925          11.481337          1.0000000    
   1.0662935          11.649131          1.0000000    
