   LOG10(FN) FN  Magnitudes: Y11, Y12 ... Y21, Y22 ... [mhos]
 -0.30103000         0.50000000         0.63130010E-09
 -0.29472897         0.50730721         0.64052618E-09
 -0.28842794         0.51472121         0.64988710E-09
 -0.28212691         0.52224356         0.65938482E-09
 -0.27582588         0.52987585         0.66902135E-09
 -0.26952485         0.53761968         0.67879871E-09
 -0.26322382         0.54547667         0.68871895E-09
 -0.25692279         0.55344850         0.69878418E-09
 -0.25062176         0.56153683         0.70899651E-09
 -0.24432073         0.56974336         0.71935808E-09
 -0.23801970         0.57806983         0.72987108E-09
 -0.23171867         0.58651799         0.74053772E-09
 -0.22541764         0.59508961         0.75136025E-09
 -0.21911661         0.60378649         0.76234094E-09
 -0.21281558         0.61261048         0.77348211E-09
 -0.20651455         0.62156343         0.78478611E-09
 -0.20021352         0.63064722         0.79625530E-09
 -0.19391249         0.63986376         0.80789211E-09
 -0.18761146         0.64921500         0.81969898E-09
 -0.18131043         0.65870290         0.83167841E-09
 -0.17500940         0.66832946         0.84383290E-09
 -0.16870837         0.67809671         0.85616503E-09
 -0.16240734         0.68800669         0.86867739E-09
 -0.15610631         0.69806151         0.88137260E-09
 -0.14980528         0.70826328         0.89425335E-09
 -0.14350425         0.71861413         0.90732234E-09
 -0.13720322         0.72911626         0.92058233E-09
 -0.13090219         0.73977187         0.93403611E-09
 -0.12460116         0.75058321         0.94768650E-09
 -0.11830013         0.76155255         0.96153639E-09
 -0.11199910         0.77268219         0.97558869E-09
 -0.10569807         0.78397450         0.98984635E-09
 -0.99397036E-01     0.79543183         0.10043124E-08
 -0.93096006E-01     0.80705660         0.10189898E-08
 -0.86794976E-01     0.81885126         0.10338818E-08
 -0.80493946E-01     0.83081830         0.10489913E-08
 -0.74192916E-01     0.84296023         0.10643217E-08
 -0.67891886E-01     0.85527960         0.10798762E-08
 -0.61590856E-01     0.86777902         0.10956580E-08
 -0.55289826E-01     0.88046110         0.11116704E-08
 -0.48988796E-01     0.89332853         0.11279168E-08
 -0.42687766E-01     0.90638401         0.11444006E-08
 -0.36386736E-01     0.91963028         0.11611254E-08
 -0.30085706E-01     0.93307015         0.11780945E-08
 -0.23784676E-01     0.94670642         0.11953117E-08
 -0.17483646E-01     0.96054199         0.12127805E-08
 -0.11182616E-01     0.97457975         0.12305046E-08
 -0.48815859E-02     0.98882267         0.12484877E-08
  0.14194441E-02      1.0032737         0.12667336E-08
  0.77204741E-02      1.0179360         0.12852462E-08
  0.14021504E-01      1.0328125         0.13040293E-08
  0.20322534E-01      1.0479065         0.13230869E-08
  0.26623564E-01      1.0632210         0.13424231E-08
  0.32924594E-01      1.0787594         0.13620418E-08
  0.39225624E-01      1.0945248         0.13819473E-08
  0.45526654E-01      1.1105207         0.14021436E-08
  0.51827684E-01      1.1267503         0.14226352E-08
  0.58128714E-01      1.1432171         0.14434261E-08
  0.64429744E-01      1.1599246         0.14645210E-08
  0.70730774E-01      1.1768762         0.14859241E-08
  0.77031804E-01      1.1940755         0.15076400E-08
  0.83332834E-01      1.2115263         0.15296733E-08
  0.89633864E-01      1.2292320         0.15520286E-08
  0.95934894E-01      1.2471965         0.15747106E-08
  0.10223592          1.2654236         0.15977241E-08
  0.10853695          1.2839170         0.16210739E-08
  0.11483798          1.3026807         0.16447649E-08
  0.12113901          1.3217186         0.16688022E-08
  0.12744004          1.3410348         0.16931908E-08
  0.13374107          1.3606332         0.17179358E-08
  0.14004210          1.3805181         0.17430424E-08
  0.14634313          1.4006936         0.17685160E-08
  0.15264416          1.4211639         0.17943618E-08
  0.15894519          1.4419334         0.18205854E-08
  0.16524622          1.4630064         0.18471922E-08
  0.17154725          1.4843874         0.18741878E-08
  0.17784828          1.5060808         0.19015780E-08
  0.18414931          1.5280913         0.19293684E-08
  0.19045034          1.5504235         0.19575650E-08
  0.19675137          1.5730820         0.19861737E-08
  0.20305240          1.5960717         0.20152005E-08
  0.20935343          1.6193974         0.20446515E-08
  0.21565446          1.6430639         0.20745328E-08
  0.22195549          1.6670764         0.21048509E-08
  0.22825652          1.6914397         0.21356121E-08
  0.23455755          1.7161591         0.21668228E-08
  0.24085858          1.7412398         0.21984897E-08
  0.24715961          1.7666870         0.22306193E-08
  0.25346064          1.7925061         0.22632186E-08
  0.25976167          1.8187025         0.22962942E-08
  0.26606270          1.8452818         0.23298532E-08
  0.27236373          1.8722495         0.23639026E-08
  0.27866476          1.8996114         0.23984497E-08
  0.28496579          1.9273731         0.24335016E-08
  0.29126682          1.9555405         0.24690659E-08
  0.29756785          1.9841196         0.25051498E-08
  0.30386888          2.0131164         0.25417611E-08
  0.31016991          2.0425369         0.25789075E-08
  0.31647094          2.0723874         0.26165967E-08
  0.32277197          2.1026741         0.26548368E-08
  0.32907300          2.1334035         0.26936357E-08
  0.33537403          2.1645820         0.27330016E-08
  0.34167506          2.1962161         0.27729428E-08
  0.34797609          2.2283125         0.28134678E-08
  0.35427712          2.2608780         0.28545850E-08
  0.36057815          2.2939194         0.28963031E-08
  0.36687918          2.3274437         0.29386309E-08
  0.37318021          2.3614579         0.29815772E-08
  0.37948124          2.3959693         0.30251513E-08
  0.38578227          2.4309850         0.30693621E-08
  0.39208330          2.4665124         0.31142190E-08
  0.39838433          2.5025591         0.31597315E-08
  0.40468536          2.5391325         0.32059092E-08
  0.41098639          2.5762404         0.32527617E-08
  0.41728742          2.6138907         0.33002989E-08
  0.42358845          2.6520912         0.33485309E-08
  0.42988948          2.6908500         0.33974677E-08
  0.43619051          2.7301752         0.34471197E-08
  0.44249154          2.7700751         0.34974974E-08
  0.44879257          2.8105581         0.35486112E-08
  0.45509360          2.8516328         0.36004721E-08
  0.46139463          2.8933078         0.36530910E-08
  0.46769566          2.9355918         0.37064788E-08
  0.47399669          2.9784938         0.37606468E-08
  0.48029772          3.0220227         0.38156065E-08
  0.48659875          3.0661878         0.38713693E-08
  0.49289978          3.1109984         0.39279471E-08
  0.49920081          3.1564638         0.39853518E-08
  0.50550184          3.2025937         0.40435954E-08
  0.51180287          3.2493977         0.41026902E-08
  0.51810390          3.2968858         0.41626486E-08
  0.52440493          3.3450679         0.42234833E-08
  0.53070596          3.3939541         0.42852071E-08
  0.53700699          3.4435548         0.43478329E-08
  0.54330802          3.4938803         0.44113740E-08
  0.54960905          3.5449413         0.44758436E-08
  0.55591008          3.5967486         0.45412555E-08
  0.56221111          3.6493130         0.46076233E-08
  0.56851214          3.7026456         0.46749610E-08
  0.57481317          3.7567576         0.47432829E-08
  0.58111420          3.8116604         0.48126032E-08
  0.58741523          3.8673656         0.48829366E-08
  0.59371626          3.9238849         0.49542979E-08
  0.60001729          3.9812302         0.50267021E-08
  0.60631832          4.0394136         0.51001644E-08
  0.61261935          4.0984473         0.51747003E-08
  0.61892038          4.1583437         0.52503256E-08
  0.62522141          4.2191155         0.53270560E-08
  0.63152244          4.2807754         0.54049079E-08
  0.63782347          4.3433365         0.54838974E-08
  0.64412450          4.4068118         0.55640414E-08
  0.65042553          4.4712148         0.56453567E-08
  0.65672656          4.5365590         0.57278603E-08
  0.66302759          4.6028582         0.58115696E-08
  0.66932862          4.6701263         0.58965023E-08
  0.67562965          4.7383775         0.59826763E-08
  0.68193068          4.8076261         0.60701096E-08
  0.68823171          4.8778868         0.61588208E-08
  0.69453274          4.9491742         0.62488283E-08
  0.70083377          5.0215035         0.63401513E-08
  0.70713480          5.0948899         0.64328090E-08
  0.71343583          5.1693488         0.65268207E-08
  0.71973686          5.2448958         0.66222064E-08
  0.72603789          5.3215469         0.67189861E-08
  0.73233892          5.3993182         0.68171802E-08
  0.73863995          5.4782261         0.69168093E-08
  0.74494098          5.5582872         0.70178945E-08
  0.75124201          5.6395183         0.71204569E-08
  0.75754304          5.7219366         0.72245183E-08
  0.76384407          5.8055594         0.73301004E-08
  0.77014510          5.8904043         0.74372256E-08
  0.77644613          5.9764891         0.75459163E-08
  0.78274716          6.0638320         0.76561955E-08
  0.78904819          6.1524514         0.77680864E-08
  0.79534922          6.2423659         0.78816124E-08
  0.80165025          6.3335945         0.79967976E-08
  0.80795128          6.4261563         0.81136662E-08
  0.81425231          6.5200708         0.82322427E-08
  0.82055334          6.6153579         0.83525521E-08
  0.82685437          6.7120375         0.84746198E-08
  0.83315540          6.8101300         0.85984715E-08
  0.83945643          6.9096561         0.87241331E-08
  0.84575746          7.0106367         0.88516313E-08
  0.85205849          7.1130931         0.89809927E-08
  0.85835952          7.2170468         0.91122447E-08
  0.86466055          7.3225198         0.92454149E-08
  0.87096158          7.4295342         0.93805313E-08
  0.87726261          7.5381125         0.95176223E-08
  0.88356364          7.6482776         0.96567168E-08
  0.88986467          7.7600528         0.97978441E-08
  0.89616570          7.8734614         0.99410339E-08
  0.90246673          7.9885275         0.10086316E-07
  0.90876776          8.1052752         0.10233722E-07
  0.91506879          8.2237291         0.10383282E-07
  0.92136982          8.3439141         0.10535028E-07
  0.92767085          8.4658555         0.10688991E-07
  0.93397188          8.5895791         0.10845204E-07
  0.94027291          8.7151108         0.11003701E-07
  0.94657394          8.8424771         0.11164513E-07
  0.95287497          8.9717048         0.11327676E-07
  0.95917600          9.1028210         0.11493224E-07
  0.96547703          9.2358535         0.11661190E-07
  0.97177806          9.3708301         0.11831612E-07
  0.97807909          9.5077793         0.12004524E-07
  0.98438012          9.6467300         0.12179963E-07
  0.99068115          9.7877114         0.12357966E-07
  0.99698218          9.9307531         0.12538571E-07
   1.0032832          10.075885         0.12721815E-07
   1.0095842          10.223138         0.12907737E-07
   1.0158853          10.372544         0.13096376E-07
   1.0221863          10.524132         0.13287772E-07
   1.0284873          10.677936         0.13481965E-07
   1.0347884          10.833988         0.13678996E-07
   1.0410894          10.992321         0.13878906E-07
   1.0473904          11.152967         0.14081738E-07
   1.0536915          11.315961         0.14287535E-07
   1.0599925          11.481337         0.14496339E-07
   1.0662935          11.649131         0.14708195E-07
   1.0725945          11.819376         0.14923146E-07
   1.0788956          11.992109         0.15141239E-07
   1.0851966          12.167367         0.15362520E-07
   1.0914976          12.345186         0.15587034E-07
   1.0977987          12.525604         0.15814830E-07
   1.1040997          12.708658         0.16045954E-07
   1.1104007          12.894388         0.16280456E-07
   1.1167018          13.082832         0.16518386E-07
   1.1230028          13.274030         0.16759792E-07
   1.1293038          13.468022         0.17004727E-07
   1.1356048          13.664849         0.17253241E-07
   1.1419059          13.864553         0.17505387E-07
   1.1482069          14.067175         0.17761218E-07
   1.1545079          14.272759         0.18020788E-07
   1.1608090          14.481347         0.18284152E-07
   1.1671100          14.692984         0.18551364E-07
   1.1734110          14.907713         0.18822481E-07
   1.1797121          15.125581         0.19097561E-07
   1.1860131          15.346632         0.19376661E-07
   1.1923141          15.570914         0.19659839E-07
   1.1986151          15.798474         0.19947156E-07
   1.2049162          16.029360         0.20238673E-07
   1.2112172          16.263619         0.20534449E-07
   1.2175182          16.501303         0.20834548E-07
   1.2238193          16.742460         0.21139033E-07
   1.2301203          16.987141         0.21447968E-07
   1.2364213          17.235398         0.21761417E-07
   1.2427224          17.487284         0.22079448E-07
   1.2490234          17.742850         0.22402126E-07
   1.2553244          18.002152         0.22729520E-07
   1.2616254          18.265243         0.23061699E-07
