   LOG10(FN) FN  Calc. Mag.: Z11, Z12 ... Z21, Z22 ... [ohms]
 -0.30103000         0.50000000         0.18137429E-04
 -0.29472897         0.50730721         0.18196774E-04
 -0.28842794         0.51472121         0.18257513E-04
 -0.28212691         0.52224356         0.18319673E-04
 -0.27582588         0.52987585         0.18383286E-04
 -0.26952485         0.53761968         0.18448383E-04
 -0.26322382         0.54547667         0.18514993E-04
 -0.25692279         0.55344850         0.18583149E-04
 -0.25062176         0.56153683         0.18652882E-04
 -0.24432073         0.56974336         0.18724226E-04
 -0.23801970         0.57806983         0.18797212E-04
 -0.23171867         0.58651799         0.18871875E-04
 -0.22541764         0.59508961         0.18948248E-04
 -0.21911661         0.60378649         0.19026366E-04
 -0.21281558         0.61261048         0.19106264E-04
 -0.20651455         0.62156343         0.19187977E-04
 -0.20021352         0.63064722         0.19271542E-04
 -0.19391249         0.63986376         0.19356993E-04
 -0.18761146         0.64921500         0.19444370E-04
 -0.18131043         0.65870290         0.19533708E-04
 -0.17500940         0.66832946         0.19625045E-04
 -0.16870837         0.67809671         0.19718421E-04
 -0.16240734         0.68800669         0.19813874E-04
 -0.15610631         0.69806151         0.19911443E-04
 -0.14980528         0.70826328         0.20011169E-04
 -0.14350425         0.71861413         0.20113090E-04
 -0.13720322         0.72911626         0.20217250E-04
 -0.13090219         0.73977187         0.20323688E-04
 -0.12460116         0.75058321         0.20432447E-04
 -0.11830013         0.76155255         0.20543568E-04
 -0.11199910         0.77268219         0.20657095E-04
 -0.10569807         0.78397450         0.20773071E-04
 -0.99397036E-01     0.79543183         0.20891540E-04
 -0.93096006E-01     0.80705660         0.21012546E-04
 -0.86794976E-01     0.81885126         0.21136133E-04
 -0.80493946E-01     0.83081830         0.21262347E-04
 -0.74192916E-01     0.84296023         0.21391234E-04
 -0.67891886E-01     0.85527960         0.21522840E-04
 -0.61590856E-01     0.86777902         0.21657211E-04
 -0.55289826E-01     0.88046110         0.21794395E-04
 -0.48988796E-01     0.89332853         0.21934438E-04
 -0.42687766E-01     0.90638401         0.22077391E-04
 -0.36386736E-01     0.91963028         0.22223300E-04
 -0.30085706E-01     0.93307015         0.22372215E-04
 -0.23784676E-01     0.94670642         0.22524185E-04
 -0.17483646E-01     0.96054199         0.22679261E-04
 -0.11182616E-01     0.97457975         0.22837493E-04
 -0.48815859E-02     0.98882267         0.22998932E-04
  0.14194441E-02      1.0032737         0.23163629E-04
  0.77204741E-02      1.0179360         0.23331637E-04
  0.14021504E-01      1.0328125         0.23503008E-04
  0.20322534E-01      1.0479065         0.23677795E-04
  0.26623564E-01      1.0632210         0.23856051E-04
  0.32924594E-01      1.0787594         0.24037830E-04
  0.39225624E-01      1.0945248         0.24223188E-04
  0.45526654E-01      1.1105207         0.24412177E-04
  0.51827684E-01      1.1267503         0.24604855E-04
