   LOG10(FN) FN  Calc. Arg.: Z11, Z12 ... Z21, Z22 ... [deg]
 -0.30103000         0.50000000          27.027205    
 -0.29472897         0.50730721          27.341731    
 -0.28842794         0.51472121          27.658565    
 -0.28212691         0.52224356          27.977683    
 -0.27582588         0.52987585          28.299058    
 -0.26952485         0.53761968          28.622661    
 -0.26322382         0.54547667          28.948462    
 -0.25692279         0.55344850          29.276431    
 -0.25062176         0.56153683          29.606536    
 -0.24432073         0.56974336          29.938741    
 -0.23801970         0.57806983          30.273013    
 -0.23171867         0.58651799          30.609314    
 -0.22541764         0.59508961          30.947606    
 -0.21911661         0.60378649          31.287849    
 -0.21281558         0.61261048          31.630004    
 -0.20651455         0.62156343          31.974026    
 -0.20021352         0.63064722          32.319874    
 -0.19391249         0.63986376          32.667501    
 -0.18761146         0.64921500          33.016861    
 -0.18131043         0.65870290          33.367907    
 -0.17500940         0.66832946          33.720590    
 -0.16870837         0.67809671          34.074859    
 -0.16240734         0.68800669          34.430663    
 -0.15610631         0.69806151          34.787948    
 -0.14980528         0.70826328          35.146662    
 -0.14350425         0.71861413          35.506749    
 -0.13720322         0.72911626          35.868152    
 -0.13090219         0.73977187          36.230815    
 -0.12460116         0.75058321          36.594678    
 -0.11830013         0.76155255          36.959683    
 -0.11199910         0.77268219          37.325769    
 -0.10569807         0.78397450          37.692875    
 -0.99397036E-01     0.79543183          38.060938    
 -0.93096006E-01     0.80705660          38.429896    
 -0.86794976E-01     0.81885126          38.799684    
 -0.80493946E-01     0.83081830          39.170239    
 -0.74192916E-01     0.84296023          39.541494    
 -0.67891886E-01     0.85527960          39.913385    
 -0.61590856E-01     0.86777902          40.285844    
 -0.55289826E-01     0.88046110          40.658805    
 -0.48988796E-01     0.89332853          41.032200    
 -0.42687766E-01     0.90638401          41.405961    
 -0.36386736E-01     0.91963028          41.780021    
 -0.30085706E-01     0.93307015          42.154310    
 -0.23784676E-01     0.94670642          42.528761    
 -0.17483646E-01     0.96054199          42.903304    
 -0.11182616E-01     0.97457975          43.277871    
 -0.48815859E-02     0.98882267          43.652393    
  0.14194441E-02      1.0032737          44.026801    
  0.77204741E-02      1.0179360          44.401026    
  0.14021504E-01      1.0328125          44.774999    
  0.20322534E-01      1.0479065          45.148653    
  0.26623564E-01      1.0632210          45.521918    
  0.32924594E-01      1.0787594          45.894728    
  0.39225624E-01      1.0945248          46.267015    
  0.45526654E-01      1.1105207          46.638712    
  0.51827684E-01      1.1267503          47.009753    
  0.58128714E-01      1.1432171          47.380072    
  0.64429744E-01      1.1599246          47.749603    
  0.70730774E-01      1.1768762          48.118283    
  0.77031804E-01      1.1940755          48.486047    
  0.83332834E-01      1.2115263          48.852833    
  0.89633864E-01      1.2292320          49.218579    
  0.95934894E-01      1.2471965          49.583222    
  0.10223592          1.2654236          49.946704    
  0.10853695          1.2839170          50.308964    
  0.11483798          1.3026807          50.669945    
  0.12113901          1.3217186          51.029589    
  0.12744004          1.3410348          51.387839    
  0.13374107          1.3606332          51.744642    
  0.14004210          1.3805181          52.099943    
  0.14634313          1.4006936          52.453689    
  0.15264416          1.4211639          52.805830    
  0.15894519          1.4419334          53.156315    
  0.16524622          1.4630064          53.505094    
  0.17154725          1.4843874          53.852122    
  0.17784828          1.5060808          54.197350    
  0.18414931          1.5280913          54.540735    
  0.19045034          1.5504235          54.882233    
  0.19675137          1.5730820          55.221802    
  0.20305240          1.5960717          55.559401    
  0.20935343          1.6193974          55.894990    
  0.21565446          1.6430639          56.228532    
  0.22195549          1.6670764          56.559990    
  0.22825652          1.6914397          56.889329    
  0.23455755          1.7161591          57.216516    
  0.24085858          1.7412398          57.541517    
  0.24715961          1.7666870          57.864302    
  0.25346064          1.7925061          58.184842    
  0.25976167          1.8187025          58.503108    
  0.26606270          1.8452818          58.819074    
  0.27236373          1.8722495          59.132714    
  0.27866476          1.8996114          59.444005    
  0.28496579          1.9273731          59.752923    
  0.29126682          1.9555405          60.059448    
  0.29756785          1.9841196          60.363560    
  0.30386888          2.0131164          60.665240    
  0.31016991          2.0425369          60.964471    
  0.31647094          2.0723874          61.261237    
  0.32277197          2.1026741          61.555523    
  0.32907300          2.1334035          61.847316    
  0.33537403          2.1645820          62.136603    
  0.34167506          2.1962161          62.423373    
  0.34797609          2.2283125          62.707617    
  0.35427712          2.2608780          62.989326    
  0.36057815          2.2939194          63.268492    
  0.36687918          2.3274437          63.545109    
  0.37318021          2.3614579          63.819171    
  0.37948124          2.3959693          64.090674    
  0.38578227          2.4309850          64.359615    
  0.39208330          2.4665124          64.625991    
  0.39838433          2.5025591          64.889802    
  0.40468536          2.5391325          65.151046    
  0.41098639          2.5762404          65.409725    
  0.41728742          2.6138907          65.665839    
  0.42358845          2.6520912          65.919392    
  0.42988948          2.6908500          66.170385    
  0.43619051          2.7301752          66.418825    
  0.44249154          2.7700751          66.664714    
  0.44879257          2.8105581          66.908060    
  0.45509360          2.8516328          67.148867    
  0.46139463          2.8933078          67.387144    
  0.46769566          2.9355918          67.622897    
  0.47399669          2.9784938          67.856136    
  0.48029772          3.0220227          68.086869    
  0.48659875          3.0661878          68.315106    
  0.49289978          3.1109984          68.540857    
  0.49920081          3.1564638          68.764133    
  0.50550184          3.2025937          68.984946    
  0.51180287          3.2493977          69.203307    
  0.51810390          3.2968858          69.419229    
  0.52440493          3.3450679          69.632724    
  0.53070596          3.3939541          69.843806    
  0.53700699          3.4435548          70.052488    
  0.54330802          3.4938803          70.258785    
  0.54960905          3.5449413          70.462712    
  0.55591008          3.5967486          70.664282    
  0.56221111          3.6493130          70.863512    
  0.56851214          3.7026456          71.060417    
  0.57481317          3.7567576          71.255012    
  0.58111420          3.8116604          71.447314    
  0.58741523          3.8673656          71.637340    
  0.59371626          3.9238849          71.825106    
  0.60001729          3.9812302          72.010629    
  0.60631832          4.0394136          72.193926    
  0.61261935          4.0984473          72.375014    
  0.61892038          4.1583437          72.553912    
  0.62522141          4.2191155          72.730636    
  0.63152244          4.2807754          72.905205    
  0.63782347          4.3433365          73.077637    
  0.64412450          4.4068118          73.247949    
  0.65042553          4.4712148          73.416161    
  0.65672656          4.5365590          73.582290    
  0.66302759          4.6028582          73.746355    
  0.66932862          4.6701263          73.908375    
  0.67562965          4.7383775          74.068368    
  0.68193068          4.8076261          74.226352    
  0.68823171          4.8778868          74.382347    
  0.69453274          4.9491742          74.536372    
  0.70083377          5.0215035          74.688444    
  0.70713480          5.0948899          74.838583    
  0.71343583          5.1693488          74.986808    
  0.71973686          5.2448958          75.133138    
  0.72603789          5.3215469          75.277591    
  0.73233892          5.3993182          75.420186    
  0.73863995          5.4782261          75.560942    
  0.74494098          5.5582872          75.699878    
  0.75124201          5.6395183          75.837012    
  0.75754304          5.7219366          75.972362    
  0.76384407          5.8055594          76.105949    
  0.77014510          5.8904043          76.237789    
  0.77644613          5.9764891          76.367902    
  0.78274716          6.0638320          76.496306    
  0.78904819          6.1524514          76.623019    
  0.79534922          6.2423659          76.748060    
  0.80165025          6.3335945          76.871446    
  0.80795128          6.4261563          76.993196    
  0.81425231          6.5200708          77.113327    
  0.82055334          6.6153579          77.231858    
  0.82685437          6.7120375          77.348806    
  0.83315540          6.8101300          77.464189    
  0.83945643          6.9096561          77.578025    
  0.84575746          7.0106367          77.690330    
  0.85205849          7.1130931          77.801123    
  0.85835952          7.2170468          77.910420    
  0.86466055          7.3225198          78.018238    
  0.87096158          7.4295342          78.124595    
  0.87726261          7.5381125          78.229507    
  0.88356364          7.6482776          78.332991    
  0.88986467          7.7600528          78.435063    
  0.89616570          7.8734614          78.535740    
  0.90246673          7.9885275          78.635038    
  0.90876776          8.1052752          78.732974    
  0.91506879          8.2237291          78.829563    
  0.92136982          8.3439141          78.924821    
  0.92767085          8.4658555          79.018763    
  0.93397188          8.5895791          79.111407    
  0.94027291          8.7151108          79.202766    
  0.94657394          8.8424771          79.292856    
  0.95287497          8.9717048          79.381693    
  0.95917600          9.1028210          79.469291    
  0.96547703          9.2358535          79.555666    
  0.97177806          9.3708301          79.640831    
  0.97807909          9.5077793          79.724802    
  0.98438012          9.6467300          79.807593    
  0.99068115          9.7877114          79.889218    
  0.99698218          9.9307531          79.969692    
   1.0032832          10.075885          80.049027    
   1.0095842          10.223138          80.127240    
   1.0158853          10.372544          80.204342    
   1.0221863          10.524132          80.280347    
   1.0284873          10.677936          80.355270    
   1.0347884          10.833988          80.429122    
   1.0410894          10.992321          80.501918    
   1.0473904          11.152967          80.573670    
   1.0536915          11.315961          80.644391    
   1.0599925          11.481337          80.714093    
   1.0662935          11.649131          80.782790    
   1.0725945          11.819376          80.850494    
   1.0788956          11.992109          80.917216    
   1.0851966          12.167367          80.982970    
   1.0914976          12.345186          81.047766    
   1.0977987          12.525604          81.111617    
   1.1040997          12.708658          81.174535    
   1.1104007          12.894388          81.236530    
   1.1167018          13.082832          81.297615    
   1.1230028          13.274030          81.357801    
   1.1293038          13.468022          81.417099    
   1.1356048          13.664849          81.475519    
   1.1419059          13.864553          81.533074    
   1.1482069          14.067175          81.589772    
   1.1545079          14.272759          81.645626    
   1.1608090          14.481347          81.700646    
